City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Ocean City,US,2021-11-12 19:30:04,39.2776,-74.5746,66.25,88,49,3.0,scattered clouds
156,Diapaga,BF,2021-11-12 19:31:34,12.0708,1.7889,86.79,20,94,4.18,overcast clouds
157,Lavrentiya,RU,2021-11-12 19:31:34,65.5833,-171.0,9.88,88,98,2.62,overcast clouds
158,Mzimba,MW,2021-11-12 19:31:35,-11.9,33.6,71.91,50,63,11.63,broken clouds
159,Lashio,MM,2021-11-12 19:31:35,22.9333,97.75,60.42,99,67,0.69,broken clouds
160,Atambua,ID,2021-11-12 19:31:35,-9.1061,124.8925,76.26,87,99,1.59,overcast clouds
161,Broome,US,2021-11-12 19:31:36,42.2506,-75.833,57.45,65,1,3.0,clear sky
162,Paraiso,CR,2021-11-12 19:31:36,9.8383,-83.8656,76.06,68,38,4.23,scattered clouds
163,Wanning,CN,2021-11-12 19:31:37,18.8003,110.3967,71.17,72,100,13.82,overcast clouds
164,Washington,US,2021-11-12 19:27:33,47.5001,-120.5015,51.04,90,100,2.37,overcast clouds
165,Khatanga,RU,2021-11-12 19:31:37,71.9667,102.5,-23.44,97,94,5.32,overcast clouds
166,Saint George,US,2021-11-12 19:31:38,37.1041,-113.5841,71.64,32,1,1.99,clear sky
167,Gandajika,CD,2021-11-12 19:31:38,-6.75,23.95,70.56,80,100,3.02,overcast clouds
168,Hearst,CA,2021-11-12 19:31:39,49.6835,-83.6665,32.25,94,99,4.99,overcast clouds
169,Pisco,PE,2021-11-12 19:31:39,-13.7,-76.2167,68.05,73,0,5.75,clear sky
170,Malakal,SS,2021-11-12 19:31:40,9.5334,31.6605,79.59,57,30,4.03,scattered clouds
171,Grootfontein,NA,2021-11-12 19:31:41,-19.5667,18.1167,69.37,49,100,4.61,overcast clouds
172,Pangnirtung,CA,2021-11-12 19:31:41,66.1451,-65.7125,10.4,79,90,3.44,light snow
173,Moengo,SR,2021-11-12 19:31:42,5.6167,-54.4,82.22,78,88,5.17,overcast clouds
174,Suntar,RU,2021-11-12 19:31:42,62.1444,117.6319,2.05,96,99,4.56,overcast clouds
175,Rawalpindi,PK,2021-11-12 19:28:55,33.6007,73.0679,56.23,68,0,3.78,clear sky
176,Aklavik,CA,2021-11-12 19:31:43,68.2191,-135.0107,5.83,95,100,10.89,overcast clouds
177,Souillac,MU,2021-11-12 19:31:43,-20.5167,57.5167,74.35,83,40,3.44,scattered clouds
178,Harper,LR,2021-11-12 19:31:44,4.375,-7.7169,78.57,87,90,6.55,light rain
179,Lagoa,PT,2021-11-12 19:31:44,39.05,-27.9833,67.96,85,88,17.07,overcast clouds
180,Pierre,US,2021-11-12 19:30:06,44.3683,-100.351,34.72,71,40,11.01,scattered clouds
181,Inirida,CO,2021-11-12 19:32:45,3.8653,-67.9239,83.21,71,93,1.19,overcast clouds
182,Auki,SB,2021-11-12 19:32:45,-8.7676,160.7034,79.21,84,82,4.14,broken clouds
183,Golden,US,2021-11-12 19:31:04,39.7555,-105.2211,61.11,35,40,10.0,scattered clouds
184,Ukiah,US,2021-11-12 19:32:46,39.1502,-123.2078,75.04,73,1,0.0,clear sky
185,Aviles,ES,2021-11-12 19:32:46,43.5547,-5.9248,56.17,84,90,1.01,overcast clouds
186,Touros,BR,2021-11-12 19:32:47,-5.1989,-35.4608,85.1,74,26,13.94,scattered clouds
187,Pampa,US,2021-11-12 19:32:47,35.5362,-100.9599,52.75,24,0,15.86,clear sky
188,Todos Santos,MX,2021-11-12 19:32:48,23.45,-110.2167,87.12,75,0,7.05,clear sky
189,Hambantota,LK,2021-11-12 19:32:48,6.1241,81.1185,78.82,78,93,14.05,overcast clouds
190,Sokolka,PL,2021-11-12 19:32:48,53.4072,23.5023,38.66,90,87,1.16,overcast clouds
191,Thio,NC,2021-11-12 19:32:49,-21.6167,166.2167,75.16,80,80,3.76,broken clouds
192,Atuona,PF,2021-11-12 19:32:50,-9.8,-139.0333,77.81,75,21,12.8,few clouds
193,Peterhead,GB,2021-11-12 19:32:51,57.5058,-1.7981,51.12,95,94,10.13,overcast clouds
194,Cherskiy,RU,2021-11-12 19:32:51,68.75,161.3,8.13,97,100,3.89,overcast clouds
195,Balad,IQ,2021-11-12 19:32:51,34.0164,44.1453,58.93,43,0,8.75,clear sky
196,Khotkovo,RU,2021-11-12 19:32:52,56.257,37.9954,38.98,93,100,14.09,overcast clouds
197,Kuytun,RU,2021-11-12 19:32:52,54.3419,101.5036,24.39,98,100,1.9,light snow
198,Guerrero Negro,MX,2021-11-12 19:32:53,27.9769,-114.0611,84.67,23,2,4.97,clear sky
