City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Orocue,CO,2021-11-09 21:33:37,4.7912,-71.3354,82.38,70,66,5.03
271,Chimbote,PE,2021-11-09 21:34:38,-9.0853,-78.5783,66.42,79,79,10.74
272,Kurilsk,RU,2021-11-09 21:34:38,45.2333,147.8833,49.91,93,100,29.19
273,Clonakilty,IE,2021-11-09 21:34:15,51.6231,-8.8706,51.1,86,100,5.73
274,Mount Isa,AU,2021-11-09 21:34:38,-20.7333,139.5,78.57,73,33,4.61
275,Talaya,RU,2021-11-09 21:34:38,61.3833,152.75,-13.38,84,3,2.33
276,Luanda,AO,2021-11-09 21:30:49,-8.8368,13.2343,76.24,85,99,9.86
277,Kununurra,AU,2021-11-09 21:34:39,-15.7667,128.7333,78.78,89,4,8.05
278,Clyde River,CA,2021-11-09 21:34:39,70.4692,-68.5914,5.95,75,23,10.02
279,Belmonte,BR,2021-11-09 21:34:39,-15.8631,-38.8828,77.5,84,82,6.49
280,Indianola,US,2021-11-09 21:34:40,41.3581,-93.5574,61.29,53,70,8.84
281,Puerto Escondido,MX,2021-11-09 21:34:40,15.85,-97.0667,83.23,69,1,9.22
282,Shingu,JP,2021-11-09 21:34:40,33.7333,135.9833,55.09,70,92,6.71
283,Fomboni,KM,2021-11-09 21:34:40,-12.28,43.7425,80.8,82,9,17.67
284,Hasaki,JP,2021-11-09 21:34:41,35.7333,140.8333,55.29,67,3,17.43
285,Caravelas,BR,2021-11-09 21:34:41,-17.7125,-39.2481,76.21,84,93,4.36
286,Sinop,TR,2021-11-09 21:34:41,41.7711,34.8709,47.93,95,100,9.57
287,Languyan,PH,2021-11-09 21:34:42,5.2618,120.0807,78.76,83,98,1.41
288,Ouesso,CG,2021-11-09 21:34:42,1.6136,16.0517,71.87,95,99,1.79
289,Acarau,BR,2021-11-09 21:30:05,-2.8856,-40.12,79.95,77,18,18.3
290,Verkhnevilyuysk,RU,2021-11-09 21:34:42,63.4453,120.3167,20.46,84,100,11.01
291,Sola,VU,2021-11-09 21:34:43,-13.8833,167.55,84.87,79,75,5.75
292,Filadelfia,US,2021-11-09 21:33:12,39.9523,-75.1638,70.05,50,20,1.99
293,Debre Sina,ET,2021-11-09 21:34:43,9.85,39.7667,48.6,77,44,3.85
